2020-06-22 15:04:03 INFO  BlockManagerInfo:54 - Added rdd_2_0 in memory on master:34649 (size: 1719.2 KB, free: 364.6 MB)
2020-06-22 15:04:03 INFO  Executor:54 - Finished task 0.0 in stage 0.0 (TID 0). 918 bytes result sent to driver
2020-06-22 15:04:03 INFO  TaskSetManager:54 - Finished task 0.0 in stage 0.0 (TID 0) in 1015 ms on localhost (executor driver) (1/1)
2020-06-22 15:04:03 INFO  TaskSchedulerImpl:54 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2020-06-22 15:04:03 INFO  DAGScheduler:54 - ResultStage 0 (count at GraphLoader.scala:94) finished in 1.150 s
2020-06-22 15:04:03 INFO  DAGScheduler:54 - Job 0 finished: count at GraphLoader.scala:94, took 1.229763 s
2020-06-22 15:04:03 INFO  GraphLoader:54 - It took 2678 ms to load the edges
2020-06-22 15:04:04 INFO  SparkContext:54 - Starting job: reduce at VertexRDDImpl.scala:90
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 5 (mapPartitions at VertexRDD.scala:356)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 11 (mapPartitions at GraphImpl.scala:207)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 33 (mapPartitions at VertexRDDImpl.scala:247)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 19 (mapPartitions at VertexRDDImpl.scala:247)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 37 (mapPartitions at VertexRDDImpl.scala:247)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Registering RDD 41 (mapPartitions at GraphImpl.scala:207)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Got job 1 (reduce at VertexRDDImpl.scala:90) with 1 output partitions
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Final stage: ResultStage 7 (reduce at VertexRDDImpl.scala:90)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 1, ShuffleMapStage 2, ShuffleMapStage 6)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 1, ShuffleMapStage 2, ShuffleMapStage 6)
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 1 (VertexRDD.createRoutingTables - vid2pid (aggregation) MapPartitionsRDD[5] at mapPartitions at VertexRDD.scala:356), which has no missing parents
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 4.8 KB, free 364.3 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 2.8 KB, free 364.3 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on master:34649 (size: 2.8 KB, free: 364.6 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 2 from broadcast at DAGScheduler.scala:1039
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ShuffleMapStage 1 (VertexRDD.createRoutingTables - vid2pid (aggregation) MapPartitionsRDD[5] at mapPartitions at VertexRDD.scala:356) (first 15 tasks are for partitions Vector(0))
2020-06-22 15:04:04 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 1 tasks
2020-06-22 15:04:04 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 2 (GraphImpl.aggregateMessages - preAgg MapPartitionsRDD[11] at mapPartitions at GraphImpl.scala:207), which has no missing parents
2020-06-22 15:04:04 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 1, localhost, executor driver, partition 0, PROCESS_LOCAL, 7876 bytes)
2020-06-22 15:04:04 INFO  Executor:54 - Running task 0.0 in stage 1.0 (TID 1)
2020-06-22 15:04:04 INFO  BlockManager:54 - Found block rdd_2_0 locally
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 5.2 KB, free 364.3 MB)
2020-06-22 15:04:04 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 3.1 KB, free 364.3 MB)
2020-06-22 15:04:04 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on master:34649 (size: 3.1 KB, free: 364.6 MB)
2020-06-22 15:04:04 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:1039
